"Timestamp","What do you study?","What is your profession?","Since how many semesters have you been studying?","Why did you choose the lecture MSD? ","How many hours per week do you spend on a homework?","Are you satisfied with the topics taught in the lecture?","What did you miss in the lecture? ","Reflect on the repository mining project (topic selection, were your expectations fulfilled, learnings, etc.)","Why do you think that the weekly exercise sheets were a good preparation for the projects or not?","What kind of extra material did you use to solve the weekly homeworks and the project?","Do you intend to use the topics you learned outside of the course? [Descriptive Statistics]","Do you intend to use the topics you learned outside of the course? [Data Mining]","Do you intend to use the topics you learned outside of the course? [Explorative Analysis]","Do you intend to use the topics you learned outside of the course? [Prediction model]","Do you intend to use the topics you learned outside of the course? [Natural Language Processing]","Do you intend to use the topics you learned outside of the course? [Python]","Do you intend to use the topics you learned outside of the course? [Jupyter Notebook]","Do you intend to use the topics you learned outside of the course? [Experimentation]","Do you intend to use the topics you learned outside of the course? [Surveys]","Rate the difficulty of the lecture","What did you like in the course?","What did you not like in the course?","How do you agree with the  following statement: The topics taught in the lecture can be applied in various application areas","What would you suggest for the improvement of the lecture?","Would you attend this course again?","Would you recommend this course to others?"
"2018/12/11 2:41:30 PM MEZ","Bachelor Computer Science","","5 semesters","High interest in learning how to properly fetch data from Web-Interfaces and analyse it. Inspiration were videos like this: https://www.youtube.com/watch?v=-YpwsdRKt8Q (SFW)","6-7 hours","Yes","","Yes, I think difficulty wise it was very on point, not too difficult, and a lot to do in case you finished the exercise quickly. I especially liked the freedom you gave us in this project with how we should approach the task.","I think they were good in introducing the individual tools we would later use in our projects. Especially the Pandas and Plot.ly ones were good. I struggled a little with the ML one.","PyCharm (I really dislike code completion of Jupyter), I tried JetBrains new Jupyter alternative https://datalore.io/, Raspberry PI for gathering StackOverflow data, Online Docs of various things. ","Intend to use","Already used","Intend to use","Intend to use","Unsure","Already used","Already used","Already used","Already used","2","Style of presentation, use of frameworks that seem to be common, projects","Each team presenting their final results, sometimes unclear project descriptions","Fully","Limiting presentation time strictly or only taking a few prepared ones (like 10 for each presentation).","Yes","Yes"
"2018/12/11 3:19:47 PM MEZ","Bachelor Computer Science","","more","i was interested in the lecture and the topic","2-3 hours","Yes","","i was satisfied with my topic selection. first it was a bit confusing to understand the task, but i have learned a lot by working on the project.","yes, they were a good preparation. we were able to use some code of the homework again. but the lecture documents were helpful too.","internet","Already used","Intend to use","Intend to use","Unsure","Unsure","Already used","Intend to use","Intend to use","Unsure","2","the projects, as yet. they were not to difficult and on the other hand not boring","sometimes the project-presentations from the students have been boring. because so many have chosen the same topic. ","most of them, yes. ","student's presentations should really be shorter (5 min and stop). otherwise, time is missing","Yes","Yes"
"2018/12/11 6:57:39 PM MEZ","Bachelor Computer Science","","more","The range of optional courses was very limited this semester so in order to get enough ects points I registered for most available courses.","4-5 hours","Yes","","In the github data mining assignment, the task of obtaining the data was too difficult. I would have wished for more time with analyzing the data.","They were a good way of learning the basics of displaying and working with data.","Mostly documentations of plotly and python.","Intend to use","Unsure","Unsure","Already used","Unsure","Already used","Already used","Intend to use","Unsure","2","I liked working in the jupyter notebook environment and visualizing data with a range of graphs.","I did not enjoy mining for data with external apis, for example the obstacle of not being able to obtain as much data as you want with the github api.","True, but not every topic.","More hands-on programming in class and less dry lecture.","Yes","Yes"
"2018/12/12 10:10:29 AM MEZ","Bachelor Computer Science;Mathematics (Teacher's degree)","","more","I chose it because I needed another elective course and I thought that this course would be interesting from the description I read in OLAT.","6-7 hours","Yes","","The repository mining project was very interesting for me. I learned a lot and i was also quite buffled about the results we could obtain from our studies. ","Yes, I think they were a good preparation.","Mostly I was searching the documentaries and stackoverflow. ","Already used","Unsure","Already used","Intend to use","Intend to use","Intend to use","Unsure","Intend to use","Intend to use","3","The practical aspect (projects). ","I felt that the deadlines for the projects were too short sometimes. For example, in project 1 it would have been good, if we had 1 more week to finish our project. ","I fully agree.","","Yes","Yes"
"2018/12/12 2:08:19 PM MEZ","Bachelor Computer Science","Student","more","ECTS","4-5 hours","Yes","Nothing.","I was happy with the topic and it was interesting to see the results.","It was good to get to know the tools first.","Only the material taught in the lecture.","Unsure","Unsure","Unsure","Unsure","Unsure","No, I won't use it","No, I won't use it","Unsure","Unsure","3","Data Mining","Jupyter Notebook","True.","","Yes","No"
"2018/12/12 4:20:52 PM MEZ","Bachelor Computer Science","Programmer","more","Sounded like a nice lecture","4-5 hours","Yes","","Data gathering was unnecessary complicated","Yes","Stackoverflow","Already used","Intend to use","Intend to use","Unsure","Intend to use","Already used","Already used","Unsure","No, I won't use it","3","Projects","Data gather in project 1 & small sample in projecr 2","I think the areas are pretty specific","Diffrent data/sample sets for projects","Yes","Yes"
"2018/12/12 5:34:10 PM MEZ","Bachelor Computer Science","","5 semesters","Because i need it for the Bachelor","6-7 hours","Yes","More interaction","it was nice","yes","Google","Unsure","Unsure","Intend to use","Unsure","Already used","Already used","Intend to use","Unsure","Unsure","3","the structure","duration","true","","Yes","Yes"
"2018/12/12 5:35:37 PM MEZ","Bachelor Computer Science","","5 semesters","It was the last not full lecture","4-5 hours","Yes","Nothing","Ja","Because you lern how to work with jupyter, and from errors you make you will learn","Stackoverflow, Github","Unsure","Intend to use","Unsure","Intend to use","Unsure","Already used","Already used","Intend to use","Unsure","3","Jupyter","the presentations","yes","no changes","Yes","Yes"
"2018/12/12 5:53:21 PM MEZ","Bachelor Computer Science","","more","sounded interesting","6-7 hours","Yes","nothing","cool topics","the exercise sheets covered the main parts of the project e.g data retrieving and data analysis examples","plotly documentation, intellij, stackoverflow","Already used","Intend to use","Intend to use","Intend to use","Already used","Intend to use","Intend to use","Intend to use","Intend to use","4","love the course, really interesting and especially useful for the bachelorthesis and work outside the course","nothing","yes definitely","when presenting the projects it would be interesting to see for example 2 teams with the same projects and not every team","Yes","Yes"
"2018/12/12 7:28:33 PM MEZ","Bachelor Computer Science","Student","5 semesters","I hate my life ","more than 7 hours","Yes","Nothing","Yes","Yes","Google","Intend to use","Already used","Already used","Already used","Already used","Already used","Unsure","Unsure","Unsure","5","Projects","Project Explnation Sheets","True","","Yes","Yes"
"2018/12/12 7:32:15 PM MEZ","Bachelor Computer Science","Student","5 semesters","Interest","4-5 hours","Yes","","A lot of work but interesting and informativ ","Get familiar with jupyter and necessary libraries","Informations from the internet ","Already used","Intend to use","Intend to use","Already used","Already used","Already used","Already used","Already used","Already used","4","Provision of a lot of code-examples to the theory","Too many projects ","Totally agree","","Yes","Yes"
"2018/12/12 8:28:30 PM MEZ","Bachelor Computer Science","Student","5 semesters","I was interested in the topic","4-5 hours","Yes","Nothing","We were able to learn many things I did not know before.","Yes I think we learned the basics we needed for the projects.","Stack overflow!!!","Already used","Unsure","Intend to use","Unsure","Already used","Already used","Intend to use","Unsure","Unsure","3","We could design our projects as we wanted and it was not to strict.","Sometimes it was difficult to stay focused for 3 hours.","Yes I think most of the things we learned are useful","Nothing","Yes","Yes"
"2018/12/12 10:26:29 PM MEZ","Bachelor Computer Science;Political Science","Software Developer","4 semesters","Because methods of data science can help to get insights into a huge variety of topics; Because this lecture is a great place for learning and (more importantly) practicing these methods in a structured manner.","4-5 hours","Yes","Maybe interesting real-world examples of the techniques taught.","Yes. The Topic was interesting. The tasks were not difficult but still interesting and insightful.","They were a good preperation because they got us used to using pandas, numpy, plotly and selected machine learning topics one step at a time.","Not much. Documentation for the Github and the Stackoverflow APIs, pandas documentation, plotly documentation.","Intend to use","Intend to use","Intend to use","Intend to use","Intend to use","Already used","Unsure","No, I won't use it","No, I won't use it","3","A lot: Interesting topics, cool technologies used, great Exercises and great Projects! Many many very useful things learned.","(a) A bit too many project presentations: especially when many projects come to similiar conclusions. (b) Not enough feedback for project presentations: this might help to improve the presentations and make them more interesting to listen to.","Totally agree","More feedback for presentations; More cool examples of real-world use in the lecture","Yes","Yes"
